image,target
frame_123_0.png,3
frame_123_1.png,3
frame_123_2.png,3
frame_123_3.png,3
frame_123_4.png,3
frame_123_5.png,3
frame_123_6.png,3
frame_123_7.png,3
frame_123_8.png,3
frame_123_9.png,1
frame_123_10.png,1
frame_123_11.png,0
frame_123_12.png,0
frame_123_13.png,0
frame_123_14.png,0
frame_123_15.png,0
frame_123_16.png,1
frame_123_17.png,0
frame_123_18.png,3
frame_123_19.png,2
frame_123_20.png,2
frame_123_21.png,3
frame_123_22.png,3
frame_123_23.png,2
frame_123_24.png,0
frame_123_25.png,4
frame_123_26.png,4
frame_123_27.png,4
frame_123_28.png,4
frame_123_29.png,4
frame_123_30.png,4
frame_123_31.png,4
frame_123_32.png,4
frame_123_33.png,4
frame_123_34.png,4
frame_123_35.png,4
frame_123_36.png,4
frame_123_37.png,2
frame_123_38.png,2
frame_123_39.png,0
frame_123_40.png,0
frame_123_41.png,0
frame_123_42.png,2
frame_123_43.png,1
frame_123_44.png,2
frame_123_45.png,1
frame_123_46.png,0
