image,target
frame_196_0.png,1
frame_196_1.png,1
frame_196_2.png,0
frame_196_3.png,0
frame_196_4.png,0
frame_196_5.png,0
frame_196_6.png,0
frame_196_7.png,0
frame_196_8.png,0
frame_196_9.png,0
frame_196_10.png,0
frame_196_11.png,0
frame_196_12.png,0
frame_196_13.png,2
frame_196_14.png,4
frame_196_15.png,1
frame_196_16.png,0
frame_196_17.png,3
frame_196_18.png,3
frame_196_19.png,3
frame_196_20.png,1
frame_196_21.png,0
frame_196_22.png,0
frame_196_23.png,0
frame_196_24.png,0
frame_196_25.png,0
frame_196_26.png,0
frame_196_27.png,0
frame_196_28.png,0
frame_196_29.png,0
frame_196_30.png,0
frame_196_31.png,0
frame_196_32.png,0
frame_196_33.png,0
frame_196_34.png,0
frame_196_35.png,0
frame_196_36.png,0
frame_196_37.png,0
frame_196_38.png,0
frame_196_39.png,0
