image,target
frame_115_0.png,3
frame_115_1.png,3
frame_115_2.png,3
frame_115_3.png,3
frame_115_4.png,3
frame_115_5.png,3
frame_115_6.png,3
frame_115_7.png,1
frame_115_8.png,0
frame_115_9.png,0
frame_115_10.png,0
frame_115_11.png,0
frame_115_12.png,0
frame_115_13.png,0
frame_115_14.png,0
frame_115_15.png,0
frame_115_16.png,0
frame_115_17.png,0
frame_115_18.png,0
frame_115_19.png,0
frame_115_20.png,0
frame_115_21.png,1
frame_115_22.png,0
frame_115_23.png,0
frame_115_24.png,0
frame_115_25.png,2
frame_115_26.png,2
frame_115_27.png,0
frame_115_28.png,0
frame_115_29.png,0
frame_115_30.png,0
frame_115_31.png,0
frame_115_32.png,0
frame_115_33.png,0
frame_115_34.png,0
frame_115_35.png,0
