image,target
frame_0_0.png,1
frame_0_1.png,0
frame_0_2.png,0
frame_0_3.png,1
frame_0_4.png,0
frame_0_5.png,0
frame_0_6.png,0
frame_0_7.png,2
frame_0_8.png,0
frame_0_9.png,0
frame_0_10.png,0
frame_0_11.png,0
frame_0_12.png,0
frame_0_13.png,1
frame_0_14.png,0
frame_0_15.png,0
frame_0_16.png,0
frame_0_17.png,0
frame_0_18.png,0
frame_0_19.png,3
frame_0_20.png,0
frame_0_21.png,3
frame_0_22.png,0
frame_0_23.png,3
frame_0_24.png,0
frame_0_25.png,3
frame_0_26.png,0
frame_0_27.png,3
frame_0_28.png,0
frame_0_29.png,3
frame_0_30.png,0
frame_0_31.png,3
frame_0_32.png,0
frame_0_33.png,3
frame_0_34.png,0
frame_0_35.png,3
frame_0_36.png,0
frame_0_37.png,3
frame_0_38.png,0
frame_0_39.png,3
frame_0_40.png,0
frame_0_41.png,3
frame_0_42.png,0
frame_0_43.png,3
frame_0_44.png,0
frame_0_45.png,3
frame_0_46.png,0
frame_0_47.png,3
frame_0_48.png,0
frame_0_49.png,3
frame_0_50.png,0
frame_0_51.png,2
frame_0_52.png,2
frame_0_53.png,0
frame_0_54.png,0
frame_0_55.png,0
frame_0_56.png,0
frame_0_57.png,0
frame_0_58.png,0
frame_0_59.png,0
frame_0_60.png,0
frame_0_61.png,0
frame_0_62.png,0
frame_0_63.png,0
frame_0_64.png,0
frame_0_65.png,0
frame_0_66.png,0
frame_0_67.png,0
frame_0_68.png,0
frame_0_69.png,0
