image,target
frame_152_0.png,4
frame_152_1.png,4
frame_152_2.png,4
frame_152_3.png,4
frame_152_4.png,4
frame_152_5.png,4
frame_152_6.png,4
frame_152_7.png,4
frame_152_8.png,4
frame_152_9.png,4
frame_152_10.png,4
frame_152_11.png,4
frame_152_12.png,2
frame_152_13.png,0
frame_152_14.png,0
frame_152_15.png,0
frame_152_16.png,0
frame_152_17.png,0
frame_152_18.png,0
frame_152_19.png,0
frame_152_20.png,0
frame_152_21.png,0
frame_152_22.png,0
frame_152_23.png,1
frame_152_24.png,0
frame_152_25.png,0
frame_152_26.png,0
frame_152_27.png,0
frame_152_28.png,2
frame_152_29.png,4
frame_152_30.png,1
frame_152_31.png,4
frame_152_32.png,4
frame_152_33.png,4
frame_152_34.png,0
frame_152_35.png,4
frame_152_36.png,4
frame_152_37.png,4
frame_152_38.png,4
frame_152_39.png,4
frame_152_40.png,2
frame_152_41.png,0
frame_152_42.png,0
frame_152_43.png,0
frame_152_44.png,0
frame_152_45.png,0
frame_152_46.png,0
frame_152_47.png,0
frame_152_48.png,0
frame_152_49.png,0
frame_152_50.png,0
frame_152_51.png,0
frame_152_52.png,0
frame_152_53.png,0
frame_152_54.png,0
