image,target
frame_0_0.png,4
frame_0_1.png,3
frame_0_2.png,3
frame_0_3.png,3
frame_0_4.png,3
frame_0_5.png,3
frame_0_6.png,3
frame_0_7.png,3
frame_0_8.png,3
frame_0_9.png,3
frame_0_10.png,3
frame_0_11.png,3
frame_0_12.png,2
frame_0_13.png,2
frame_0_14.png,0
frame_0_15.png,0
frame_0_16.png,0
frame_0_17.png,0
frame_0_18.png,0
frame_0_19.png,0
frame_0_20.png,0
frame_0_21.png,0
frame_0_22.png,0
frame_0_23.png,0
frame_0_24.png,0
frame_0_25.png,0
frame_0_26.png,0
frame_0_27.png,0
frame_0_28.png,1
frame_0_29.png,1
frame_0_30.png,0
frame_0_31.png,0
frame_0_32.png,0
frame_0_33.png,0
frame_0_34.png,0
frame_0_35.png,0
frame_0_36.png,0
frame_0_37.png,0
frame_0_38.png,0
